team1,team2,winner,winner_team_score,winner_team_wicket,opponent_team_score,opponent_team_wicket,winner_played_at,match_date,time_of_day,series,toss,toss_decision,ground_country
New Zealand,Pakistan,Pakistan,242,1,241,1,away,"Jun 16, 1999",Day,ICC World Cup,New Zealand,bat first,England
Pakistan,Australia,Australia,133,2,132,2,away,"Jun 20, 1999",Day,ICC World Cup,Pakistan,bat first,England
Australia,Sri Lanka,Australia,205,9,160,9,away,"Aug 22, 1999",Day,Aiwa Cup,Sri Lanka,field first,Sri Lanka
India,Australia,Australia,159,2,151,2,away,"Aug 23, 1999",Day,Aiwa Cup,India,bat first,Sri Lanka
India,Sri Lanka,Sri Lanka,206,3,205,3,home,"Aug 25, 1999",Day and night,Aiwa Cup,India,bat first,Sri Lanka
Australia,Sri Lanka,Australia,241,9,214,9,away,"Aug 26, 1999",Day and night,Aiwa Cup,Australia,bat first,Sri Lanka
Australia,India,Australia,252,8,211,8,away,"Aug 28, 1999",Day,Aiwa Cup,India,field first,Sri Lanka
India,Sri Lanka,India,296,4,247,4,away,"Aug 29, 1999",Day,Aiwa Cup,Sri Lanka,field first,Sri Lanka
Australia,Sri Lanka,Sri Lanka,208,2,202,2,home,"Aug 31, 1999",Day and night,Aiwa Cup,Australia,bat first,Sri Lanka
Zimbabwe,West Indies,West Indies,247,4,244,4,away,"Sep 2, 1999",Day,Coca-Cola Singapore Challenge,Zimbabwe,bat first,Singapore
India,Zimbabwe,India,245,6,130,6,away,"Sep 4, 1999",Day,Coca-Cola Singapore Challenge,Zimbabwe,field first,Singapore
West Indies,India,West Indies,196,7,154,7,away,"Sep 5, 1999",Day,Coca-Cola Singapore Challenge,West Indies,bat first,Singapore
India,West Indies,West Indies,255,6,254,6,away,"Sep 8, 1999",Day,Coca-Cola Singapore Challenge,West Indies,field first,Singapore
West Indies,India,India,165,2,163,2,away,"Sep 11, 1999",Day,West Indies tour of Canada,India,field first,Canada
West Indies,India,West Indies,190,6,120,6,away,"Sep 12, 1999",Day,West Indies tour of Canada,West Indies,bat first,Canada
India,West Indies,India,225,7,137,7,away,"Sep 14, 1999",Day,West Indies tour of Canada,West Indies,field first,Canada
Pakistan,West Indies,Pakistan,230,6,215,6,away,"Sep 16, 1999",Day,Pakistan tour of Canada,Pakistan,bat first,Canada
Pakistan,West Indies,Pakistan,222,5,180,5,away,"Sep 18, 1999",Day,Pakistan tour of Canada,Pakistan,bat first,Canada
West Indies,Pakistan,Pakistan,162,3,161,3,away,"Sep 19, 1999",Day,Pakistan tour of Canada,West Indies,bat first,Canada
Kenya,Zimbabwe,Zimbabwe,200,7,199,7,away,"Sep 25, 1999",Day,LG Cup,Zimbabwe,field first,Kenya
South Africa,India,India,120,2,117,2,away,"Sep 26, 1999",Day,LG Cup,South Africa,bat first,Kenya
Zimbabwe,South Africa,South Africa,217,1,216,1,away,"Sep 28, 1999",Day,LG Cup,South Africa,field first,Kenya
India,Kenya,India,220,7,162,7,away,"Sep 29, 1999",Day,LG Cup,Kenya,field first,Kenya
South Africa,Kenya,South Africa,220,7,196,7,away,"Sep 30, 1999",Day,LG Cup,Kenya,field first,Kenya
India,Zimbabwe,India,277,6,170,6,away,"Oct 1, 1999",Day,LG Cup,Zimbabwe,field first,Kenya
South Africa,India,South Africa,235,9,209,9,away,"Oct 3, 1999",Day,LG Cup,India,field first,Kenya
West Indies,Bangladesh,West Indies,292,6,219,6,away,"Oct 8, 1999",Day and night,West Indies tour of Bangladesh,West Indies,bat first,Bangladesh
West Indies,Bangladesh,West Indies,314,6,205,6,away,"Oct 9, 1999",Day and night,West Indies tour of Bangladesh,West Indies,bat first,Bangladesh
Sri Lanka,West Indies,West Indies,181,7,178,7,away,"Oct 13, 1999",Day and night,Coca-Cola Champions Trophy,Sri Lanka,bat first,United Arab Emirates
Pakistan,West Indies,Pakistan,260,5,130,5,away,"Oct 14, 1999",Day and night,Coca-Cola Champions Trophy,Pakistan,bat first,United Arab Emirates
West Indies,Sri Lanka,Sri Lanka,146,1,145,1,away,"Oct 17, 1999",Day and night,Coca-Cola Champions Trophy,West Indies,bat first,United Arab Emirates
Pakistan,Sri Lanka,Pakistan,239,8,121,8,away,"Oct 18, 1999",Day and night,Coca-Cola Champions Trophy,Pakistan,bat first,United Arab Emirates
Pakistan,West Indies,Pakistan,255,5,117,5,away,"Oct 19, 1999",Day and night,Coca-Cola Champions Trophy,Pakistan,bat first,United Arab Emirates
Australia,Zimbabwe,Australia,303,6,220,6,away,"Oct 21, 1999",Day,Australia tour of Zimbabwe,Zimbabwe,field first,Zimbabwe
Pakistan,Sri Lanka,Pakistan,211,9,123,9,away,"Oct 22, 1999",Day and night,Coca-Cola Champions Trophy,Pakistan,bat first,United Arab Emirates
Zimbabwe,Australia,Australia,117,1,116,1,away,"Oct 23, 1999",Day,Australia tour of Zimbabwe,Australia,field first,Zimbabwe
Zimbabwe,Australia,Australia,201,1,200,1,away,"Oct 24, 1999",Day,Australia tour of Zimbabwe,Australia,field first,Zimbabwe
New Zealand,India,New Zealand,349,9,306,9,away,"Nov 5, 1999",Day,New Zealand tour of India,New Zealand,bat first,India
India,New Zealand,India,376,2,202,2,home,"Nov 8, 1999",Day,New Zealand tour of India,India,bat first,India
India,New Zealand,India,261,5,247,5,home,"Nov 11, 1999",Day,New Zealand tour of India,India,bat first,India
New Zealand,India,New Zealand,236,9,188,9,away,"Nov 14, 1999",Day,New Zealand tour of India,India,field first,India
New Zealand,India,India,181,3,179,3,home,"Nov 17, 1999",Day,New Zealand tour of India,New Zealand,bat first,India
Sri Lanka,Zimbabwe,Sri Lanka,213,10,200,10,away,"Dec 12, 1999",Day,Sri Lanka tour of Zimbabwe,Zimbabwe,field first,Zimbabwe
Sri Lanka,Zimbabwe,Sri Lanka,248,7,150,7,away,"Dec 15, 1999",Day,Sri Lanka tour of Zimbabwe,Zimbabwe,field first,Zimbabwe
Zimbabwe,Sri Lanka,Sri Lanka,262,4,260,4,away,"Dec 18, 1999",Day,Sri Lanka tour of Zimbabwe,Zimbabwe,bat first,Zimbabwe
Sri Lanka,Zimbabwe,Zimbabwe,206,4,202,4,home,"Dec 19, 1999",Day,Sri Lanka tour of Zimbabwe,Sri Lanka,bat first,Zimbabwe
West Indies,New Zealand,New Zealand,250,7,268,7,home,"Jan 2, 2000",Day,West Indies tour of New Zealand,West Indies,bat first,New Zealand
West Indies,New Zealand,New Zealand,194,3,192,3,home,"Jan 4, 2000",Day and night,West Indies tour of New Zealand,New Zealand,field first,New Zealand
West Indies,New Zealand,New Zealand,160,6,159,6,home,"Jan 6, 2000",Day and night,West Indies tour of New Zealand,West Indies,bat first,New Zealand
West Indies,New Zealand,New Zealand,172,2,171,2,home,"Jan 8-9, 2000",Day,West Indies tour of New Zealand,New Zealand,field first,New Zealand
Pakistan,Australia,Pakistan,184,8,139,8,away,"Jan 9, 2000",Day and night,Carlton & United Series,Pakistan,bat first,Australia
India,Pakistan,Pakistan,196,8,195,8,away,"Jan 10, 2000",Day and night,Carlton & United Series,India,bat first,Australia
New Zealand,West Indies,New Zealand,302,6,282,6,home,"Jan 11, 2000",Day and night,West Indies tour of New Zealand,New Zealand,bat first,New Zealand
Australia,India,Australia,269,7,241,7,home,"Jan 12, 2000",Day and night,Carlton & United Series,Australia,bat first,Australia
India,Australia,Australia,101,5,100,5,home,"Jan 14, 2000",Day and night,Carlton & United Series,India,bat first,Australia
Pakistan,Australia,Australia,177,4,176,4,home,"Jan 16, 2000",Day,Carlton & United Series,Australia,field first,Australia
Australia,Pakistan,Australia,286,10,205,10,home,"Jan 19, 2000",Day and night,Carlton & United Series,Australia,bat first,Australia
Pakistan,India,Pakistan,262,7,230,7,away,"Jan 21, 2000",Day,Carlton & United Series,India,field first,Australia
Zimbabwe,South Africa,South Africa,229,4,226,4,home,"Jan 21, 2000",Day and night,Standard Bank Triangular Tournament,Zimbabwe,bat first,South Africa
Australia,Pakistan,Australia,260,9,245,9,home,"Jan 23, 2000",Day and night,Carlton & United Series,Australia,bat first,Australia
South Africa,England,England,185,1,184,1,away,"Jan 23, 2000",Day,Standard Bank Triangular Tournament,South Africa,bat first,South Africa
India,Pakistan,India,267,6,219,6,away,"Jan 25, 2000",Day and night,Carlton & United Series,India,bat first,Australia
Australia,India,Australia,329,5,177,5,home,"Jan 26, 2000",Day and night,Carlton & United Series,Australia,bat first,Australia
South Africa,England,South Africa,204,7,203,7,home,"Jan 26, 2000",Day and night,Standard Bank Triangular Tournament,South Africa,bat first,South Africa
Pakistan,India,Pakistan,261,8,157,8,away,"Jan 28, 2000",Day and night,Carlton & United Series,Pakistan,bat first,Australia
Zimbabwe,England,Zimbabwe,211,7,107,7,away,"Jan 28, 2000",Day and night,Standard Bank Triangular Tournament,Zimbabwe,bat first,South Africa
India,Australia,Australia,230,6,226,6,home,"Jan 30, 2000",Day,Carlton & United Series,India,bat first,Australia
Zimbabwe,England,England,162,2,161,2,away,"Jan 30, 2000",Day,Standard Bank Triangular Tournament,Zimbabwe,bat first,South Africa
Pakistan,Australia,Australia,155,4,154,4,home,"Feb 2, 2000",Day and night,Carlton & United Series,Pakistan,bat first,Australia
South Africa,Zimbabwe,Zimbabwe,223,8,222,8,away,"Feb 2, 2000",Day and night,Standard Bank Triangular Tournament,South Africa,bat first,South Africa
Australia,Pakistan,Australia,337,7,185,7,home,"Feb 4, 2000",Day and night,Carlton & United Series,Australia,bat first,Australia
England,South Africa,South Africa,233,8,231,8,home,"Feb 4, 2000",Day and night,Standard Bank Triangular Tournament,South Africa,field first,South Africa
South Africa,Zimbabwe,South Africa,204,7,151,7,home,"Feb 6, 2000",Day,Standard Bank Triangular Tournament,South Africa,bat first,South Africa
Sri Lanka,Pakistan,Sri Lanka,274,8,245,8,away,"Feb 13, 2000",Day,Sri Lanka tour of Pakistan,Pakistan,field first,Pakistan
South Africa,England,South Africa,149,10,111,10,home,"Feb 13, 2000",Day and night,Standard Bank Triangular Tournament,England,field first,South Africa
Sri Lanka,Pakistan,Sri Lanka,263,6,229,6,away,"Feb 16, 2000",Day,Sri Lanka tour of Pakistan,Pakistan,field first,Pakistan
Zimbabwe,England,England,199,5,194,5,away,"Feb 16, 2000",Day,England tour of Zimbabwe,Zimbabwe,bat first,Zimbabwe
Zimbabwe,England,England,134,9,131,9,away,"Feb 18, 2000",Day,England tour of Zimbabwe,England,field first,Zimbabwe
New Zealand,Australia,Australia,123,5,122,5,away,"Feb 19, 2000",Day and night,Australia tour of New Zealand,New Zealand,bat first,New Zealand
Sri Lanka,Pakistan,Sri Lanka,241,9,137,9,away,"Feb 19, 2000",Day,Sri Lanka tour of Pakistan,Pakistan,field first,Pakistan
England,Zimbabwe,England,248,7,163,7,away,"Feb 20, 2000",Day,England tour of Zimbabwe,Zimbabwe,field first,Zimbabwe
Australia,New Zealand,Australia,310,4,260,4,away,"Feb 23, 2000",Day and night,Australia tour of New Zealand,New Zealand,field first,New Zealand
Australia,New Zealand,Australia,349,6,301,6,away,"Feb 26, 2000",Day and night,Australia tour of New Zealand,New Zealand,field first,New Zealand
New Zealand,Australia,Australia,245,5,243,5,away,"Mar 1, 2000",Day and night,Australia tour of New Zealand,Australia,field first,New Zealand
Australia,New Zealand,New Zealand,194,3,191,3,home,"Mar 3, 2000",Day and night,Australia tour of New Zealand,Australia,bat first,New Zealand
South Africa,India,India,302,7,301,7,home,"Mar 9, 2000",Day,South Africa tour of India,South Africa,bat first,India
South Africa,India,India,203,4,199,4,home,"Mar 12, 2000",Day,South Africa tour of India,South Africa,bat first,India
India,South Africa,South Africa,251,8,248,8,away,"Mar 15, 2000",Day,South Africa tour of India,South Africa,field first,India
South Africa,India,India,283,6,282,6,home,"Mar 17, 2000",Day,South Africa tour of India,South Africa,bat first,India
South Africa,India,South Africa,320,7,310,7,away,"Mar 19, 2000",Day,South Africa tour of India,India,field first,India
India,South Africa,South Africa,168,0,164,0,away,"Mar 22, 2000",Day and night,Coca-Cola Cup,India,bat first,United Arab Emirates
Pakistan,India,India,149,5,146,5,away,"Mar 23, 2000",Day and night,Coca-Cola Cup,Pakistan,bat first,United Arab Emirates
Pakistan,South Africa,South Africa,199,7,196,7,away,"Mar 24, 2000",Day and night,Coca-Cola Cup,Pakistan,bat first,United Arab Emirates
Pakistan,India,Pakistan,272,3,174,3,away,"Mar 26, 2000",Day and night,Coca-Cola Cup,Pakistan,bat first,United Arab Emirates
India,South Africa,South Africa,167,4,164,4,away,"Mar 27, 2000",Day and night,Coca-Cola Cup,India,bat first,United Arab Emirates
Pakistan,South Africa,Pakistan,168,10,101,10,away,"Mar 28, 2000",Day and night,Coca-Cola Cup,Pakistan,bat first,United Arab Emirates
Pakistan,South Africa,Pakistan,263,6,247,6,away,"Mar 31, 2000",Day and night,Coca-Cola Cup,Pakistan,bat first,United Arab Emirates
West Indies,Zimbabwe,West Indies,237,9,150,9,home,"Apr 1, 2000",Day,Cable & Wireless One Day International Series,Zimbabwe,field first,West Indies
West Indies,Zimbabwe,West Indies,280,3,239,3,home,"Apr 2, 2000",Day,Cable & Wireless One Day International Series,West Indies,bat first,West Indies
Zimbabwe,Pakistan,Pakistan,200,5,199,5,away,"Apr 5, 2000",Day,Cable & Wireless One Day International Series,Zimbabwe,bat first,West Indies
Australia,South Africa,South Africa,241,4,240,4,home,"Apr 12, 2000",Day and night,Australia tour of South Africa,South Africa,field first,South Africa
West Indies,Pakistan,West Indies,213,7,117,7,home,"Apr 12, 2000",Day,Cable & Wireless One Day International Series,West Indies,bat first,West Indies
South Africa,Australia,Australia,145,5,144,5,away,"Apr 14, 2000",Day and night,Australia tour of South Africa,Australia,field first,South Africa
Zimbabwe,Pakistan,Pakistan,205,4,204,4,away,"Apr 15, 2000",Day,Cable & Wireless One Day International Series,Zimbabwe,bat first,Grenada
Australia,South Africa,South Africa,209,6,205,6,home,"Apr 16, 2000",Day,Australia tour of South Africa,South Africa,field first,South Africa
West Indies,Pakistan,West Indies,248,6,231,6,away,"Apr 16, 2000",Day,Cable & Wireless One Day International Series,West Indies,bat first,Grenada
Pakistan,West Indies,Pakistan,197,8,180,8,away,"Apr 19, 2000",Day,Cable & Wireless One Day International Series,Pakistan,bat first,West Indies
West Indies,Pakistan,West Indies,208,8,148,8,home,"Apr 22, 2000",Day,Cable & Wireless One Day International Series,West Indies,bat first,West Indies
West Indies,Pakistan,Pakistan,116,6,114,6,away,"Apr 23, 2000",Day,Cable & Wireless One Day International Series,West Indies,bat first,West Indies
Bangladesh,Sri Lanka,Sri Lanka,178,1,175,1,away,"May 29, 2000",Day and night,Asia Cup,Sri Lanka,field first,Bangladesh
Bangladesh,India,India,252,2,249,2,away,"May 30-31, 2000",Day and night,Asia Cup,Bangladesh,bat first,Bangladesh
Sri Lanka,India,Sri Lanka,276,8,205,8,away,"Jun 1, 2000",Day and night,Asia Cup,Sri Lanka,bat first,Bangladesh
Pakistan,Bangladesh,Pakistan,320,3,87,3,away,"Jun 2, 2000",Day and night,Asia Cup,Pakistan,bat first,Bangladesh
Pakistan,India,Pakistan,295,7,251,7,away,"Jun 3, 2000",Day and night,Asia Cup,Pakistan,bat first,Bangladesh
Sri Lanka,Pakistan,Pakistan,193,3,192,3,away,"Jun 5, 2000",Day and night,Asia Cup,Sri Lanka,bat first,Bangladesh
Pakistan,Sri Lanka,Pakistan,277,4,238,4,away,"Jun 7, 2000",Day and night,Asia Cup,Pakistan,bat first,Bangladesh
Pakistan,Sri Lanka,Sri Lanka,166,5,164,5,home,"Jul 5, 2000",Day,Singer Triangular Series,Sri Lanka,field first,Sri Lanka
Sri Lanka,South Africa,Sri Lanka,249,7,212,7,home,"Jul 6, 2000",Day,Singer Triangular Series,South Africa,field first,Sri Lanka
West Indies,Zimbabwe,Zimbabwe,233,4,232,4,away,"Jul 6, 2000",Day and night,NatWest Series,West Indies,bat first,England
South Africa,Pakistan,South Africa,241,6,223,6,away,"Jul 8, 2000",Day and night,Singer Triangular Series,South Africa,bat first,Sri Lanka
England,Zimbabwe,Zimbabwe,210,5,207,5,away,"Jul 8, 2000",Day,NatWest Series,England,bat first,England
Pakistan,Sri Lanka,Sri Lanka,244,4,240,4,home,"Jul 9, 2000",Day and night,Singer Triangular Series,Pakistan,bat first,Sri Lanka
South Africa,Sri Lanka,Sri Lanka,168,2,167,2,home,"Jul 11, 2000",Day,Singer Triangular Series,Sri Lanka,field first,Sri Lanka
Zimbabwe,West Indies,Zimbabwe,256,4,186,4,away,"Jul 11, 2000",Day,NatWest Series,West Indies,field first,England
Pakistan,South Africa,South Africa,156,3,153,3,away,"Jul 12, 2000",Day,Singer Triangular Series,Pakistan,bat first,Sri Lanka
Zimbabwe,England,England,115,2,114,2,home,"Jul 13, 2000",Day and night,NatWest Series,Zimbabwe,bat first,England
Sri Lanka,South Africa,Sri Lanka,294,7,264,7,home,"Jul 14, 2000",Day and night,Singer Triangular Series,Sri Lanka,bat first,Sri Lanka
West Indies,England,England,171,0,169,0,home,"Jul 15, 2000",Day,NatWest Series,England,field first,England
West Indies,Zimbabwe,Zimbabwe,290,4,287,4,away,"Jul 16, 2000",Day,NatWest Series,West Indies,bat first,England
England,Zimbabwe,England,262,8,210,8,home,"Jul 18, 2000",Day and night,NatWest Series,England,bat first,England
West Indies,England,West Indies,195,9,192,9,away,"Jul 20, 2000",Day,NatWest Series,England,field first,England
Zimbabwe,England,England,170,4,169,4,home,"Jul 22, 2000",Day,NatWest Series,England,field first,England
Australia,South Africa,Australia,295,5,201,5,home,"Aug 16, 2000",Day and night,South Africa tour of Australia,South Africa,field first,Australia
South Africa,Australia,South Africa,206,7,198,7,away,"Aug 20, 2000",Day,South Africa tour of Australia,South Africa,bat first,Australia
Pakistan,New Zealand,Pakistan,191,6,179,6,away,"Aug 20, 2000",Day,Godrej Singapore Challenge,New Zealand,field first,Singapore
Pakistan,South Africa,Pakistan,227,9,199,9,away,"Aug 23, 2000",Day,Godrej Singapore Challenge,Pakistan,bat first,Singapore
New Zealand,South Africa,South Africa,159,2,158,2,away,"Aug 25, 2000",Day,Godrej Singapore Challenge,New Zealand,bat first,Singapore
South Africa,Pakistan,South Africa,197,7,121,7,away,"Aug 27, 2000",Day,Godrej Singapore Challenge,South Africa,bat first,Singapore
Zimbabwe,New Zealand,New Zealand,184,3,183,3,away,"Sep 27, 2000",Day,New Zealand tour of Zimbabwe,New Zealand,field first,Zimbabwe
Zimbabwe,New Zealand,Zimbabwe,273,5,252,5,home,"Sep 30, 2000",Day,New Zealand tour of Zimbabwe,New Zealand,field first,Zimbabwe
New Zealand,Zimbabwe,Zimbabwe,268,4,264,4,home,"Oct 1, 2000",Day,New Zealand tour of Zimbabwe,New Zealand,bat first,Zimbabwe
Kenya,India,India,209,2,208,2,away,"Oct 3, 2000",Day,ICC KnockOut,India,field first,Kenya
Sri Lanka,West Indies,Sri Lanka,287,6,179,6,away,"Oct 4, 2000",Day,ICC KnockOut,West Indies,field first,Kenya
Bangladesh,England,England,236,2,232,2,away,"Oct 5, 2000",Day,ICC KnockOut,Bangladesh,bat first,Kenya
India,Australia,India,265,9,245,9,away,"Oct 7, 2000",Day,ICC KnockOut,Australia,field first,Kenya
Sri Lanka,Pakistan,Pakistan,195,1,194,1,away,"Oct 8, 2000",Day,ICC KnockOut,Sri Lanka,bat first,Kenya
New Zealand,Zimbabwe,New Zealand,265,7,201,7,away,"Oct 9, 2000",Day,ICC KnockOut,Zimbabwe,field first,Kenya
England,South Africa,South Africa,184,2,182,2,away,"Oct 10, 2000",Day,ICC KnockOut,England,bat first,Kenya
Pakistan,New Zealand,New Zealand,255,6,252,6,away,"Oct 11, 2000",Day,ICC KnockOut,Pakistan,bat first,Kenya
India,South Africa,India,295,6,200,6,away,"Oct 13, 2000",Day,ICC KnockOut,India,bat first,Kenya
India,New Zealand,New Zealand,265,6,264,6,away,"Oct 15, 2000",Day,ICC KnockOut,New Zealand,field first,Kenya
India,Sri Lanka,Sri Lanka,225,5,224,5,away,"Oct 20, 2000",Day and night,Coca-Cola Champions Trophy,India,bat first,United Arab Emirates
Zimbabwe,Sri Lanka,Sri Lanka,229,3,225,3,away,"Oct 21, 2000",Day and night,Coca-Cola Champions Trophy,Sri Lanka,field first,United Arab Emirates
New Zealand,South Africa,South Africa,197,4,194,4,home,"Oct 22, 2000",Day,New Zealand tour of South Africa,New Zealand,bat first,South Africa
India,Zimbabwe,India,265,8,252,8,away,"Oct 22, 2000",Day and night,Coca-Cola Champions Trophy,Zimbabwe,field first,United Arab Emirates
Pakistan,England,England,306,5,304,5,away,"Oct 24, 2000",Day and night,England tour of Pakistan,Pakistan,bat first,Pakistan
Sri Lanka,Zimbabwe,Sri Lanka,276,9,153,9,away,"Oct 25, 2000",Day and night,Coca-Cola Champions Trophy,Zimbabwe,field first,United Arab Emirates
South Africa,New Zealand,South Africa,324,4,189,4,home,"Oct 25, 2000",Day and night,New Zealand tour of South Africa,New Zealand,field first,South Africa
Zimbabwe,India,India,219,7,218,7,away,"Oct 26, 2000",Day and night,Coca-Cola Champions Trophy,India,field first,United Arab Emirates
England,Pakistan,Pakistan,214,2,211,2,home,"Oct 27, 2000",Day and night,England tour of Pakistan,Pakistan,field first,Pakistan
Sri Lanka,India,Sri Lanka,294,5,226,5,away,"Oct 27, 2000",Day and night,Coca-Cola Champions Trophy,India,field first,United Arab Emirates
New Zealand,South Africa,South Africa,289,5,287,5,home,"Oct 28, 2000",Day,New Zealand tour of South Africa,South Africa,field first,South Africa
Sri Lanka,India,Sri Lanka,299,5,54,5,away,"Oct 29, 2000",Day and night,Coca-Cola Champions Trophy,Sri Lanka,bat first,United Arab Emirates
England,Pakistan,Pakistan,161,4,158,4,home,"Oct 30, 2000",Day and night,England tour of Pakistan,Pakistan,field first,Pakistan
New Zealand,South Africa,South Africa,158,4,114,4,home,"Nov 1, 2000",Day and night,New Zealand tour of South Africa,South Africa,field first,South Africa
New Zealand,South Africa,South Africa,258,7,256,7,home,"Nov 4, 2000",Day,New Zealand tour of South Africa,South Africa,field first,South Africa
Zimbabwe,India,India,255,7,253,7,home,"Dec 2, 2000",Day,Zimbabwe tour of India,Zimbabwe,bat first,India
India,Zimbabwe,India,306,5,245,5,home,"Dec 5, 2000",Day,Zimbabwe tour of India,India,bat first,India
India,Zimbabwe,Zimbabwe,284,9,283,9,away,"Dec 8, 2000",Day,Zimbabwe tour of India,India,bat first,India
Zimbabwe,India,India,166,1,165,1,home,"Dec 11, 2000",Day,Zimbabwe tour of India,Zimbabwe,bat first,India
India,Zimbabwe,India,301,6,262,6,home,"Dec 14, 2000",Day,Zimbabwe tour of India,Zimbabwe,field first,India
Sri Lanka,South Africa,South Africa,223,6,221,6,home,"Dec 15, 2000",Day and night,Sri Lanka tour of South Africa,Sri Lanka,bat first,South Africa
South Africa,Sri Lanka,South Africa,302,7,207,7,home,"Dec 17, 2000",Day,Sri Lanka tour of South Africa,South Africa,bat first,South Africa
Zimbabwe,New Zealand,Zimbabwe,300,7,210,7,away,"Jan 2, 2001",Day and night,Zimbabwe tour of New Zealand,New Zealand,field first,New Zealand
Zimbabwe,New Zealand,New Zealand,237,2,236,2,home,"Jan 4, 2001",Day and night,Zimbabwe tour of New Zealand,Zimbabwe,bat first,New Zealand
New Zealand,Zimbabwe,Zimbabwe,274,9,273,9,away,"Jan 7, 2001",Day,Zimbabwe tour of New Zealand,Zimbabwe,field first,New Zealand
Sri Lanka,South Africa,South Africa,250,2,247,2,home,"Jan 9, 2001",Day and night,Sri Lanka tour of South Africa,Sri Lanka,bat first,South Africa
Australia,West Indies,Australia,267,6,193,6,home,"Jan 11, 2001",Day and night,Carlton Series,Australia,bat first,Australia
South Africa,Sri Lanka,South Africa,290,7,191,7,home,"Jan 11, 2001",Day and night,Sri Lanka tour of South Africa,South Africa,bat first,South Africa
Zimbabwe,West Indies,West Indies,241,9,240,9,away,"Jan 13, 2001",Day and night,Carlton Series,Zimbabwe,bat first,Australia
West Indies,Australia,Australia,236,1,234,1,home,"Jan 14, 2001",Day and night,Carlton Series,West Indies,bat first,Australia
Sri Lanka,South Africa,South Africa,207,5,206,5,home,"Jan 14, 2001",Day,Sri Lanka tour of South Africa,South Africa,field first,South Africa
Australia,West Indies,Australia,277,4,211,4,home,"Jan 17, 2001",Day and night,Carlton Series,West Indies,field first,Australia
Sri Lanka,South Africa,Sri Lanka,214,6,204,6,away,"Jan 17, 2001",Day and night,Sri Lanka tour of South Africa,South Africa,field first,South Africa
Zimbabwe,Australia,Australia,226,2,223,2,home,"Jan 21, 2001",Day and night,Carlton Series,Zimbabwe,bat first,Australia
Zimbabwe,West Indies,Zimbabwe,138,10,91,10,away,"Jan 23, 2001",Day and night,Carlton Series,West Indies,field first,Australia
West Indies,Zimbabwe,West Indies,235,6,175,6,away,"Jan 25, 2001",Day and night,Carlton Series,West Indies,bat first,Australia
West Indies,Australia,Australia,124,0,123,0,home,"Jan 26, 2001",Day and night,Carlton Series,West Indies,bat first,Australia
Australia,Zimbabwe,Australia,291,6,205,6,home,"Jan 28, 2001",Day and night,Carlton Series,Australia,bat first,Australia
Zimbabwe,Australia,Australia,282,4,279,4,home,"Jan 30, 2001",Day,Carlton Series,Australia,field first,Australia
Sri Lanka,New Zealand,Sri Lanka,213,8,152,8,away,"Jan 31, 2001",Day and night,Sri Lanka tour of New Zealand,Sri Lanka,bat first,New Zealand
West Indies,Zimbabwe,West Indies,178,10,134,10,away,"Feb 2, 2001",Day and night,Carlton Series,West Indies,bat first,Australia
New Zealand,Sri Lanka,Sri Lanka,209,7,205,7,away,"Feb 3, 2001",Day and night,Sri Lanka tour of New Zealand,New Zealand,bat first,New Zealand
Australia,Zimbabwe,Australia,302,5,301,5,home,"Feb 4, 2001",Day,Carlton Series,Australia,bat first,Australia
New Zealand,Sri Lanka,Sri Lanka,182,1,181,1,away,"Feb 6, 2001",Day,Sri Lanka tour of New Zealand,Sri Lanka,field first,New Zealand
Australia,West Indies,Australia,253,9,119,9,home,"Feb 7, 2001",Day and night,Carlton Series,West Indies,field first,Australia
New Zealand,Sri Lanka,Sri Lanka,155,5,182,5,away,"Feb 8, 2001",Day,Sri Lanka tour of New Zealand,Sri Lanka,field first,New Zealand
Australia,West Indies,Australia,338,6,299,6,home,"Feb 9, 2001",Day and night,Carlton Series,West Indies,field first,Australia
New Zealand,Sri Lanka,New Zealand,282,6,269,6,home,"Feb 11, 2001",Day,Sri Lanka tour of New Zealand,Sri Lanka,field first,New Zealand
New Zealand,Pakistan,Pakistan,150,4,149,4,away,"Feb 17-18, 2001",Day and night,Pakistan tour of New Zealand,Pakistan,field first,New Zealand
Pakistan,New Zealand,New Zealand,136,4,135,4,home,"Feb 20, 2001",Day and night,Pakistan tour of New Zealand,New Zealand,field first,New Zealand
Pakistan,New Zealand,Pakistan,243,9,215,9,away,"Feb 22, 2001",Day and night,Pakistan tour of New Zealand,New Zealand,field first,New Zealand
New Zealand,Pakistan,New Zealand,284,5,146,5,home,"Feb 25, 2001",Day,Pakistan tour of New Zealand,Pakistan,field first,New Zealand
Pakistan,New Zealand,New Zealand,290,6,285,6,home,"Feb 28, 2001",Day and night,Pakistan tour of New Zealand,Pakistan,bat first,New Zealand
England,Sri Lanka,Sri Lanka,144,5,143,5,home,"Mar 23, 2001",Day,England tour of Sri Lanka,England,bat first,Sri Lanka
Sri Lanka,England,Sri Lanka,226,6,160,6,home,"Mar 25, 2001",Day and night,England tour of Sri Lanka,Sri Lanka,bat first,Sri Lanka
India,Australia,India,315,10,255,10,home,"Mar 25, 2001",Day and night,Australia tour of India,India,bat first,India
England,Sri Lanka,Sri Lanka,166,0,165,0,home,"Mar 27, 2001",Day,England tour of Sri Lanka,Sri Lanka,field first,Sri Lanka
India,Australia,Australia,249,2,248,2,away,"Mar 28, 2001",Day,Australia tour of India,India,bat first,India
